,Open,High,Low,Close,Adj Close,Volume,Symbol,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-12-13,398.0,398.3299865722656,391.8800048828125,392.260009765625,385.1029357910156,50166400.0,QQQ,,,,,,,,
2021-12-14,387.29998779296875,390.0899963378906,383.6300048828125,388.20001220703125,381.1170959472656,75199200.0,QQQ,,,,,,,,
2021-12-15,387.94000244140625,397.4200134277344,383.8800048828125,397.04998779296875,389.8055419921875,73858000.0,QQQ,,,,,,,,
2021-12-16,398.0400085449219,398.4800109863281,385.2099914550781,386.8399963378906,379.7818908691406,82591400.0,QQQ,,,,,,,,
2021-12-17,383.3299865722656,389.19000244140625,381.7699890136719,384.9100036621094,377.8871154785156,80492500.0,QQQ,,,,,,,,
2021-12-20,379.57000732421875,381.5,377.4700012207031,380.69000244140625,374.221435546875,65336800.0,QQQ,,,,,,,,
2021-12-21,384.04998779296875,389.5299987792969,380.20001220703125,389.2099914550781,382.5967102050781,48899500.0,QQQ,,,,,,,,
2021-12-22,388.9100036621094,394.1600036621094,388.2300109863281,393.95001220703125,387.25616455078125,37042200.0,QQQ,,,,,,,,
2021-12-23,394.30999755859375,398.42999267578125,394.1400146484375,396.9200134277344,390.1756896972656,29595500.0,QQQ,,,,,,,,
2021-12-27,398.25,403.4800109863281,398.2200012207031,403.4800109863281,396.6242370605469,32820700.0,QQQ,,,,,,,,
2021-12-28,404.3999938964844,404.5799865722656,400.7099914550781,401.6099853515625,394.78594970703125,33113700.0,QQQ,,,,,,,,
2021-12-29,401.75,403.04998779296875,399.1099853515625,401.54998779296875,394.72698974609375,32248500.0,QQQ,,,,,,,,
2021-12-30,401.3299865722656,403.57000732421875,399.75,400.3500061035156,393.5473937988281,23850100.0,QQQ,,,,,,,,
2021-12-31,399.6600036621094,401.05999755859375,397.3399963378906,397.8500061035156,391.08984375,34752900.0,QQQ,,,,,,,,
2022-01-03,399.04998779296875,401.94000244140625,396.8800048828125,401.67999267578125,394.85479736328125,40575900.0,QQQ,,,,,,,,
